patch_lon,patch_lat,patchclass,T_eff_wilheit_H,T_eff_wilheit_V,T_eff_lv_multi,T_eff_lv_two,T_eff_wigneron,T_eff_holmes2006,T_eff_wigneron2008,depth_90_lv_multi,t_surf,wc_surf,clay_surf,mvt_surf,sand_surf,bd_surf,t_deep,t_soi_max,eps_surf_real,eps_surf_imag,C_lv_two,C_holmes2006,C_inverted_wilheit,b_param_inverted,dz_surf_inverted,t_soi_layer_1,t_soi_layer_2,t_soi_layer_3,t_soi_layer_4,t_soi_layer_5,t_soi_layer_6,t_soi_layer_7,t_soi_layer_8,t_soi_layer_9,t_soi_layer_10
132.37018241504157,-17.123496377923846,10,316.21652,316.21652,303.33908,301.13177,305.8911,307.45862,305.1429,0.08686669,308.423,0.0977796,0.09717179,0.028928054,0.7184646,1294.6163,299.558,316.21652,6.061658,0.3636098,0.17752361,0.8912133,1.8791344,3.477816e-05,2.6564853,316.21652,303.48145,300.90494,299.3969,299.1596,299.3535,299.3842,299.89212,300.15225,299.80487
130.12000109593956,-17.370247128089577,10,316.02533,316.02533,308.13098,304.69946,309.60696,310.3577,308.77188,0.08018331,311.26474,0.1415283,0.19298567,0.029221945,0.4559387,1331.9182,303.04947,316.02533,8.050219,0.48069745,0.2008431,0.88958955,1.5794805,3.423606e-05,2.315684,316.02533,308.24628,305.90723,304.59076,304.81204,304.55264,303.21597,302.72937,302.69516,302.17218
130.38726408753368,-17.393225690814745,7,317.43225,317.43225,306.86972,304.47406,309.32904,310.0004,308.52264,0.078160234,310.87698,0.14725044,0.20467675,0.029257804,0.43900263,1369.7576,302.82504,317.43225,8.337855,0.500037,0.2047987,0.89113426,1.8141227,3.475139e-05,2.2655427,317.43225,306.72058,305.05493,304.44492,304.82382,304.49142,302.94208,302.60004,302.67297,302.16193
130.6215359408428,-17.34209777916346,10,318.8478,318.8478,307.11102,304.84814,310.0153,310.68637,309.14206,0.0778053,311.62042,0.14967935,0.23735249,0.029358031,0.4484892,1358.079,303.0947,318.8478,8.449976,0.50577873,0.20566374,0.89044285,1.847715,3.4518936e-05,2.254833,318.8478,307.03784,305.2309,304.51144,304.77673,304.50113,303.21674,302.86008,302.84592,302.24805
130.87763754839207,-17.374381474378076,10,317.05344,317.05344,309.7909,305.65543,311.6337,311.58563,310.45502,0.067448676,312.52325,0.21264087,0.404215,0.029869849,0.33948687,1333.1885,303.45557,317.05344,11.890239,0.7240584,0.24260497,0.89659685,1.4995961,3.669712e-05,1.868396,317.05344,309.65088,306.83185,305.0579,305.08313,304.67242,303.49814,303.3737,303.4152,302.90012
166.54375000000002,-13.14791666666666,1,320.70587,320.70587,308.7976,304.3542,311.9569,312.05423,310.11646,0.07009379,313.38208,0.19442207,0.21780765,0.02929808,0.18150637,956.0,301.70187,320.70587,10.823428,0.64036405,0.22707844,0.88631654,1.6270258,3.3190376e-05,2.0155923,320.70587,308.73834,304.7661,301.4599,300.8212,301.42694,301.7311,301.64566,300.99707,300.37863
130.12629293881713,52.602061986237466,9,253.5363,253.5363,253.54292,260.66116,255.73486,248.13506,258.4545,0.016938811,253.59196,0.1796191,0.07264135,0.028852813,0.30527773,653.54474,268.61642,273.83594,10.773497,1.8700222,0.5294872,1.3632015,1.0037049,-1.2927655e-05,0.68861866,253.5363,253.62724,253.84586,254.3655,255.43188,260.0262,267.4101,270.93533,273.16,273.83594
130.3863760790493,52.63304070407018,8,251.62057,251.62057,251.62274,257.94293,253.10454,244.37038,256.44125,0.01622524,251.66545,0.22152317,0.09856612,0.028932331,0.27594915,490.9026,268.21414,273.16,13.501767,2.6915884,0.6206675,1.440825,1.0027118,-1.09673565e-05,0.5355918,251.62057,251.69392,251.87643,252.36934,255.29875,261.77206,267.03363,270.4834,273.16,273.15997
130.35481826553038,52.60864787136771,9,253.49785,253.49785,253.50073,258.48413,254.45634,248.11594,257.1898,0.016232869,253.55656,0.23612916,0.10388852,0.028948657,0.24180415,395.78506,266.53998,273.16,14.554826,2.7931054,0.62047315,1.4190449,1.0045223,-1.1444672e-05,0.5358749,253.49785,253.59378,253.80797,254.30324,255.4819,259.16733,265.0216,269.45862,273.16,273.15997
130.71065170724995,52.59189189983728,4,252.91475,252.91475,252.91788,258.9513,254.24652,246.5279,257.32507,0.016293418,252.97148,0.22468033,0.089306444,0.02890393,0.24345449,510.52444,268.31924,273.16,13.738385,2.6401186,0.6103797,1.419839,1.0036964,-1.1426406e-05,0.5507971,252.91475,253.00745,253.21472,253.75897,256.2141,261.86288,267.19513,270.4801,273.16,273.15997
130.6320773166599,52.61712720692435,8,252.31969,252.31969,252.32204,258.1934,253.5439,245.55356,256.77386,0.016199283,252.37144,0.2312773,0.10272785,0.028945096,0.24977675,438.50638,267.9872,273.16,14.194948,2.8090882,0.6271757,1.4366026,1.0033145,-1.1056203e-05,0.5261975,252.31969,252.40425,252.60092,253.10272,255.6393,261.46912,266.78473,270.29868,273.16,273.15997
122.33018514608094,-18.827114714858727,10,313.34528,313.34528,304.61823,304.9456,306.07266,307.89246,306.09537,0.23074186,308.48047,0.013949945,0.061576925,0.028818874,0.7653132,1422.5276,304.47864,313.34528,3.0403228,0.16347961,0.11668217,0.85306394,2.2156453,2.5204077e-05,4.1844993,313.34528,305.39587,303.27893,303.79092,304.54883,305.0677,304.73236,303.99084,302.85236,301.7042
122.62601348823077,-18.87692035037189,7,312.60367,312.60367,303.99994,303.3361,304.73767,307.01236,304.7823,0.41459912,307.74597,0.013840148,0.06253541,0.028821815,0.7772259,1441.1327,302.75394,312.60367,3.0372488,0.16330387,0.116619766,0.85304207,1.9730895,2.5200015e-05,4.186884,312.60367,304.66592,302.21228,302.69263,303.99286,303.62375,303.02325,302.2362,301.30185,300.4222
122.5987936376979,-18.824509904393285,10,313.2634,313.2634,304.67313,304.71005,305.50763,307.58505,305.5972,0.24056122,308.2428,0.0059462013,0.06130121,0.028818028,0.7618865,1435.3329,304.28787,313.2634,2.8233316,0.14333867,0.10674894,0.83369,2.269455,2.2020846e-05,4.5990148,313.2634,305.05945,303.26312,304.00375,304.7104,305.04,304.55527,303.77386,302.69083,301.6241
122.87512723753277,-18.875152104814465,7,312.8981,312.8981,304.40912,303.9655,305.2659,307.30402,305.3071,0.3752343,307.96045,0.014732677,0.06234078,0.028821217,0.77480686,1450.6,303.43256,312.8981,3.0619411,0.16558962,0.11770356,0.8550244,2.0904968,2.5573472e-05,4.14584,312.8981,304.8297,302.31757,302.99908,304.39636,304.39957,303.74597,302.83002,301.80075,300.85196
